Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00577_gutB_3,"sp|O34788|BDHA_BACSU (R,R)-butanediol dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=bdhA PE=1 SV=1",93.1,346,24
OFBKKLGO_00578_ydjM_1,sp|P40775|YDJM_BACSU Uncharacterized protein YdjM OS=Bacillus subtilis (strain 168) OX=224308 GN=ydjM PE=2 SV=2,90.2,122,12
OFBKKLGO_00581_group_4470,sp|O34759|YDJO_BACSU Uncharacterized protein YdjO OS=Bacillus subtilis (strain 168) OX=224308 GN=ydjO PE=4 SV=1,88.4,69,8
OFBKKLGO_00583_gabP,sp|P46349|GABP_BACSU GABA permease OS=Bacillus subtilis (strain 168) OX=224308 GN=gabP PE=1 SV=3,84.4,462,71
OFBKKLGO_00585_group_4472,sp|P94474|YEAC_BACSU Uncharacterized protein YeaC OS=Bacillus subtilis (strain 168) OX=224308 GN=yeaC PE=3 SV=2,80.0,320,64
OFBKKLGO_00588_guaA,sp|A7Z235|GUAA_BACVZ GMP synthase [glutamine-hydrolyzing] OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=guaA PE=3 SV=1,97.9,513,11
OFBKKLGO_00592_pbuG,sp|O34987|PBUG_BACSU Guanine/hypoxanthine permease PbuG OS=Bacillus subtilis (strain 168) OX=224308 GN=pbuG PE=1 SV=1,89.8,440,45
OFBKKLGO_00593_group_2140,sp|O34341|YEBC_BACSU Uncharacterized protein YebC OS=Bacillus subtilis (strain 168) OX=224308 GN=yebC PE=4 SV=2,61.0,267,97
OFBKKLGO_00594_group_2414,sp|O34904|YEBD_BACSU Uncharacterized protein YebD OS=Bacillus subtilis (strain 168) OX=224308 GN=yebD PE=4 SV=3,58.5,53,22
OFBKKLGO_00595_group_5863,sp|A7Z241|Y682_BACVZ UPF0316 protein RBAM_006820 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_006820 PE=3 SV=1,99.5,184,1
OFBKKLGO_00596_group_3461,sp|O34700|YEBG_BACSU Uncharacterized protein YebG OS=Bacillus subtilis (strain 168) OX=224308 GN=yebG PE=4 SV=1,81.5,65,12
OFBKKLGO_00598_purE,sp|P12044|PURE_BACSU N5-carboxyaminoimidazole ribonucleotide mutase OS=Bacillus subtilis (strain 168) OX=224308 GN=purE PE=3 SV=1,88.3,162,19
OFBKKLGO_00599_purK,sp|P12045|PURK_BACSU N5-carboxyaminoimidazole ribonucleotide synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=purK PE=3 SV=2,82.5,378,66
OFBKKLGO_00600_purB,sp|P12047|PUR8_BACSU Adenylosuccinate lyase OS=Bacillus subtilis (strain 168) OX=224308 GN=purB PE=1 SV=1,96.7,430,14
OFBKKLGO_00601_purC,sp|P12046|PUR7_BACSU Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=purC PE=1 SV=1,87.8,238,29
OFBKKLGO_00602_purS,sp|P12049|PURS_BACSU Phosphoribosylformylglycinamidine synthase subunit PurS OS=Bacillus subtilis (strain 168) OX=224308 GN=purS PE=1 SV=1,97.6,84,2
OFBKKLGO_00603_purQ,sp|A7Z248|PURQ_BACVZ Phosphoribosylformylglycinamidine synthase subunit PurQ OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=purQ PE=3 SV=1,96.9,226,7
OFBKKLGO_00604_purL,sp|A7Z249|PURL_BACVZ Phosphoribosylformylglycinamidine synthase subunit PurL OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=purL PE=3 SV=1,95.4,742,34
OFBKKLGO_00605_purF,sp|P00497|PUR1_BACSU Amidophosphoribosyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=purF PE=1 SV=2,97.3,476,13
OFBKKLGO_00606_purM,sp|A7Z251|PUR5_BACVZ Phosphoribosylformylglycinamidine cyclo-ligase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=purM PE=3 SV=1,96.5,346,12
OFBKKLGO_00607_purN,sp|P12040|PUR3_BACSU Phosphoribosylglycinamide formyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=purN PE=3 SV=2,84.1,195,31
OFBKKLGO_00608_purH,sp|P12048|PUR9_BACSU Bifunctional purine biosynthesis protein PurH OS=Bacillus subtilis (strain 168) OX=224308 GN=purH PE=3 SV=2,92.6,512,38
OFBKKLGO_00609_purD,sp|P12039|PUR2_BACSU Phosphoribosylamine--glycine ligase OS=Bacillus subtilis (strain 168) OX=224308 GN=purD PE=1 SV=1,84.0,420,67
OFBKKLGO_00612_group_2143,sp|C0H3X3|YEZF_BACSU Uncharacterized membrane protein YezF OS=Bacillus subtilis (strain 168) OX=224308 GN=yezF PE=4 SV=1,72.6,73,20
OFBKKLGO_00613_yerA,sp|O34909|YERA_BACSU Putative adenine deaminase YerA OS=Bacillus subtilis (strain 168) OX=224308 GN=yerA PE=1 SV=1,87.9,580,70
OFBKKLGO_00614_yerB,sp|O34968|YERB_BACSU Putative lipoprotein YerB OS=Bacillus subtilis (strain 168) OX=224308 GN=yerB PE=1 SV=1,80.1,331,66
OFBKKLGO_00615_group_16298,sp|Q7BVT7|YERC_BACSU Uncharacterized protein YerC OS=Bacillus subtilis (strain 168) OX=224308 GN=yerC PE=4 SV=1,91.3,103,9
OFBKKLGO_00617_pcrB,sp|A7Z259|PCRB_BACVZ Heptaprenylglyceryl phosphate synthase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=pcrB PE=3 SV=1,99.1,229,2
OFBKKLGO_00618_pcrA,sp|O34580|PCRA_BACSU ATP-dependent DNA helicase PcrA OS=Bacillus subtilis (strain 168) OX=224308 GN=pcrA PE=1 SV=1,93.1,739,51
OFBKKLGO_00619_ligA,sp|A7Z261|DNLJ_BACVZ DNA ligase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=ligA PE=3 SV=1,99.0,669,7
OFBKKLGO_00620_group_5871,sp|O34629|YERH_BACSU Uncharacterized lipoprotein YerH OS=Bacillus subtilis (strain 168) OX=224308 GN=yerH PE=3 SV=1,84.7,398,59
OFBKKLGO_00622_sapB_1,sp|Q45514|SAPB_BACSU Protein SapB OS=Bacillus subtilis (strain 168) OX=224308 GN=sapB PE=1 SV=1,89.6,230,24
OFBKKLGO_00623_opuE,sp|O06493|OPUE_BACSU Osmoregulated proline transporter OpuE OS=Bacillus subtilis (strain 168) OX=224308 GN=opuE PE=1 SV=1,88.2,491,58
OFBKKLGO_00624_gatC,sp|A7Z266|GATC_BACVZ Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=gatC PE=3 SV=1,100.0,96,0
OFBKKLGO_00625_gatA,sp|A7Z267|GATA_BACVZ Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=gatA PE=3 SV=1,99.2,485,4
OFBKKLGO_00626_gatB,sp|A7Z268|GATB_BACVZ Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=gatB PE=3 SV=1,99.8,475,1
OFBKKLGO_00627_group_1405,sp|O31500|YERO_BACSU Uncharacterized HTH-type transcriptional regulator YerO OS=Bacillus subtilis (strain 168) OX=224308 GN=yerO PE=4 SV=1,58.7,276,114
OFBKKLGO_00629_dagK,sp|O31502|DAGK_BACSU Diacylglycerol kinase OS=Bacillus subtilis (strain 168) OX=224308 GN=dagK PE=1 SV=1,97.0,303,9
OFBKKLGO_00630_rlmCD_1,sp|O31503|RLMCD_BACSU 23S rRNA (uracil-C(5))-methyltransferase RlmCD OS=Bacillus subtilis (strain 168) OX=224308 GN=rlmCD PE=1 SV=1,95.4,458,21
OFBKKLGO_00639_group_15986,sp|A7Z282|Y723_BACVZ Probable transcriptional regulatory protein RBAM_007230 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_007230 PE=3 SV=1,99.6,239,1
OFBKKLGO_00642_group_5877,sp|Q45536|COTJA_BACSU Protein CotJA OS=Bacillus subtilis (strain 168) OX=224308 GN=cotJA PE=4 SV=1,81.5,81,15
OFBKKLGO_00643_group_4476,sp|Q45537|COTJB_BACSU Protein CotJB OS=Bacillus subtilis (strain 168) OX=224308 GN=cotJB PE=4 SV=2,72.4,87,24
OFBKKLGO_00644_group_16093,sp|Q45538|COTJC_BACSU Protein CotJC OS=Bacillus subtilis (strain 168) OX=224308 GN=cotJC PE=3 SV=1,96.3,189,7
OFBKKLGO_00648_hmoA,sp|O31534|HMOA_BACSU Heme-degrading monooxygenase HmoA OS=Bacillus subtilis (strain 168) OX=224308 GN=hmoA PE=1 SV=2,81.5,108,20
OFBKKLGO_00649_group_966,sp|O31535|YETH_BACSU Uncharacterized protein YetH OS=Bacillus subtilis (strain 168) OX=224308 GN=yetH PE=4 SV=1,77.5,120,27
OFBKKLGO_00650_rsbRD_2,sp|O31537|YEZB_BACSU Uncharacterized protein YezB OS=Bacillus subtilis (strain 168) OX=224308 GN=yezB PE=1 SV=2,80.4,92,18
OFBKKLGO_00652_ribR,sp|P94465|RIBR_BACSU RNA-binding riboflavin kinase RibR OS=Bacillus subtilis (strain 168) OX=224308 GN=ribR PE=2 SV=1,45.6,79,40
OFBKKLGO_00659_ltaS1,sp|Q797B3|LTAS1_BACSU Lipoteichoic acid synthase 1 OS=Bacillus subtilis (strain 168) OX=224308 GN=ltaS1 PE=1 SV=1,86.6,636,85
OFBKKLGO_00660_rfbF,sp|O06486|RFBF_BACSU Probable glucose-1-phosphate cytidylyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=yfnH PE=3 SV=1,85.4,254,37
OFBKKLGO_00661_rfbG,sp|O06485|YFNG_BACSU Putative sugar dehydratase/epimerase YfnG OS=Bacillus subtilis (strain 168) OX=224308 GN=yfnG PE=3 SV=2,91.3,300,26
OFBKKLGO_00662_group_4479,sp|O06484|YFNF_BACSU Uncharacterized protein YfnF OS=Bacillus subtilis (strain 168) OX=224308 GN=yfnF PE=4 SV=1,78.2,303,66
OFBKKLGO_00663_group_3468,sp|O06483|YFNE_BACSU Uncharacterized glycosyltransferase YfnE OS=Bacillus subtilis (strain 168) OX=224308 GN=yfnE PE=3 SV=2,78.0,387,84
OFBKKLGO_00664_group_2718,sp|O31542|YFND_BACSU Uncharacterized protein YfnD OS=Bacillus subtilis (strain 168) OX=224308 GN=yfnD PE=4 SV=1,78.8,307,65
OFBKKLGO_00665_fsr,sp|O06481|YFNC_BACSU Uncharacterized MFS-type transporter YfnC OS=Bacillus subtilis (strain 168) OX=224308 GN=yfnC PE=3 SV=1,81.7,409,75
OFBKKLGO_00666_yhdG_1,sp|Q797A7|MTRTR_BACSU Methylthioribose transporter OS=Bacillus subtilis (strain 168) OX=224308 GN=mtrA PE=3 SV=1,87.0,461,60
OFBKKLGO_00667_yfmT,sp|O06478|ALDH5_BACSU Benzaldehyde dehydrogenase YfmT OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmT PE=1 SV=1,86.6,485,65
OFBKKLGO_00668_yfmS,sp|O06477|YFMS_BACSU Putative sensory transducer protein YfmS OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmS PE=2 SV=1,86.5,281,38
OFBKKLGO_00670_group_6662,sp|P42460|Y270_SYNE7 TPR repeat-containing protein Synpcc7942_0270 OS=Synechococcus elongatus (strain PCC 7942 / FACHB-805) OX=1140 GN=Synpcc7942_0270 PE=4 SV=1,45.8,107,51
OFBKKLGO_00672_yfmP,sp|O06474|YFMP_BACSU HTH-type transcriptional regulator YfmP OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmP PE=2 SV=1,88.6,140,16
OFBKKLGO_00674_ybiT_2,sp|O34512|YFMM_BACSU Uncharacterized ABC transporter ATP-binding protein YfmM OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmM PE=3 SV=2,96.9,518,16
OFBKKLGO_00675_yfmL,sp|O34750|YFML_BACSU Probable ATP-dependent RNA helicase YfmL OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmL PE=1 SV=1,81.1,376,71
OFBKKLGO_00676_yfmJ,sp|O34812|YFMJ_BACSU Putative NADP-dependent oxidoreductase YfmJ OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmJ PE=2 SV=1,89.3,335,36
OFBKKLGO_00678_yflT,sp|P80241|G17M_BACSU General stress protein 17M OS=Bacillus subtilis (strain 168) OX=224308 GN=yflT PE=1 SV=2,86.1,115,16
OFBKKLGO_00679_pel,sp|P39116|PLY_BACSU Pectate lyase OS=Bacillus subtilis (strain 168) OX=224308 GN=pel PE=1 SV=1,75.8,421,99
OFBKKLGO_00680_yflS,sp|O34726|YFLS_BACSU Putative malate transporter YflS OS=Bacillus subtilis (strain 168) OX=224308 GN=yflS PE=2 SV=1,94.6,478,26
OFBKKLGO_00689_citS,sp|O34427|CITS_BACSU Sensor protein CitS OS=Bacillus subtilis (strain 168) OX=224308 GN=citS PE=1 SV=1,65.6,532,176
OFBKKLGO_00690_citT,sp|O34534|CITT_BACSU Transcriptional regulatory protein CitT OS=Bacillus subtilis (strain 168) OX=224308 GN=citT PE=1 SV=1,73.5,223,59
OFBKKLGO_00691_group_1413,sp|O34439|YFLP_BACSU UPF0065 protein YflP OS=Bacillus subtilis (strain 168) OX=224308 GN=yflP PE=3 SV=2,63.4,317,116
OFBKKLGO_00692_citM,sp|P55069|CITM_BACSU Mg(2+)/citrate complex secondary transporter OS=Bacillus subtilis (strain 168) OX=224308 GN=citM PE=1 SV=1,89.8,430,44
OFBKKLGO_00694_nos,sp|O34453|NOSO_BACSU Nitric oxide synthase oxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=nos PE=1 SV=2,81.0,363,69
OFBKKLGO_00696_yiiM,sp|O34542|YFLK_BACSU Uncharacterized protein YflK OS=Bacillus subtilis (strain 168) OX=224308 GN=yflK PE=4 SV=1,67.4,215,70
OFBKKLGO_00697_group_4486,sp|O34345|YFLJ_BACSU Uncharacterized protein YflJ OS=Bacillus subtilis (strain 168) OX=224308 GN=yflJ PE=4 SV=1,83.7,43,7
OFBKKLGO_00698_group_4487,sp|O34905|YFLI_BACSU Uncharacterized protein YflI OS=Bacillus subtilis (strain 168) OX=224308 GN=yflI PE=4 SV=1,74.5,51,13
OFBKKLGO_00699_yflH_1,sp|O34306|YFLH_BACSU Uncharacterized protein YflH OS=Bacillus subtilis (strain 168) OX=224308 GN=yflH PE=1 SV=1,70.0,100,30
OFBKKLGO_00700_mapB,sp|O34484|MAP12_BACSU Methionine aminopeptidase 2 OS=Bacillus subtilis (strain 168) OX=224308 GN=mapB PE=1 SV=1,93.2,249,17
OFBKKLGO_00701_nagP,sp|O34521|PTWCB_BACSU PTS system N-acetylglucosamine-specific EIICB component OS=Bacillus subtilis (strain 168) OX=224308 GN=nagP PE=2 SV=1,85.2,452,67
OFBKKLGO_00702_group_1182,sp|O06475|YFMQ_BACSU Uncharacterized protein YfmQ OS=Bacillus subtilis (strain 168) OX=224308 GN=yfmQ PE=4 SV=1,69.2,146,44
OFBKKLGO_00703_ltaS2_1,sp|O34952|LTAS2_BACSU Lipoteichoic acid synthase 2 OS=Bacillus subtilis (strain 168) OX=224308 GN=ltaS2 PE=1 SV=1,90.7,645,60
OFBKKLGO_00704_group_2726,sp|O34887|YFLB_BACSU Uncharacterized protein YflB OS=Bacillus subtilis (strain 168) OX=224308 GN=yflB PE=4 SV=2,72.6,124,34
OFBKKLGO_00705_cotP,sp|P96698|COTP_BACSU Spore coat protein P OS=Bacillus subtilis (strain 168) OX=224308 GN=cotP PE=2 SV=1,66.0,141,48
OFBKKLGO_00706_group_16089,sp|P96699|YDGA_BACSU Uncharacterized protein YdgA OS=Bacillus subtilis (strain 168) OX=224308 GN=ydgA PE=4 SV=1,72.5,80,22
OFBKKLGO_00707_group_4488,sp|P96700|YDGB_BACSU Uncharacterized protein YdgB OS=Bacillus subtilis (strain 168) OX=224308 GN=ydgB PE=4 SV=1,80.0,90,14
OFBKKLGO_00709_treA,sp|P39795|TREC_BACSU Trehalose-6-phosphate hydrolase OS=Bacillus subtilis (strain 168) OX=224308 GN=treA PE=1 SV=2,78.6,562,115
OFBKKLGO_00711_yfkO,sp|O34475|YFKO_BACSU Putative NAD(P)H nitroreductase YfkO OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkO PE=1 SV=1,82.4,221,39
OFBKKLGO_00714_yfkN,sp|O34313|NTPES_BACSU Trifunctional nucleotide phosphoesterase protein YfkN OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkN PE=1 SV=1,73.6,1464,348
OFBKKLGO_00715_yfkM,sp|P80876|GS18_BACSU General stress protein 18 OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkM PE=1 SV=3,89.4,170,18
OFBKKLGO_00717_aroE_2,sp|Q92EG7|AROE_LISIN Shikimate dehydrogenase (NADP(+)) OS=Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262) OX=272626 GN=aroE PE=3 SV=1,63.1,287,103
OFBKKLGO_00719_ydiM,sp|O34597|YFKL_BACSU Uncharacterized MFS-type transporter YfkL OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkL PE=3 SV=1,47.2,394,203
OFBKKLGO_00720_group_3474,sp|A7Z2G8|Y810_BACVZ UPF0435 protein RBAM_008100 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_008100 PE=3 SV=1,94.4,71,4
OFBKKLGO_00723_group_6665,sp|O34437|YFKH_BACSU Putative ribonuclease-like protein YfkH OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkH PE=4 SV=1,81.8,274,50
OFBKKLGO_00724_ycaD,sp|O34929|YFKF_BACSU Uncharacterized MFS-type transporter YfkF OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkF PE=3 SV=1,82.0,388,70
OFBKKLGO_00725_chaA,sp|O34840|CHAA_BACSU Ca(2+)/H(+) antiporter ChaA OS=Bacillus subtilis (strain 168) OX=224308 GN=chaA PE=1 SV=1,89.7,351,36
OFBKKLGO_00726_yfkD,sp|O34579|YFKD_BACSU Uncharacterized protein YfkD OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkD PE=2 SV=1,84.4,263,41
OFBKKLGO_00727_yfkC,sp|O35043|YFKC_BACSU Uncharacterized MscS family protein YfkC OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkC PE=2 SV=1,78.7,277,59
OFBKKLGO_00728_group_3477,sp|O34400|YFKA_BACSU Putative protein YfkA OS=Bacillus subtilis (strain 168) OX=224308 GN=yfkA PE=3 SV=2,91.7,372,31
OFBKKLGO_00729_group_5891,sp|O35041|YFJT_BACSU Uncharacterized protein YfjT OS=Bacillus subtilis (strain 168) OX=224308 GN=yfjT PE=4 SV=1,93.4,61,4
OFBKKLGO_00730_pdaA,sp|O34928|PDAA_BACSU Peptidoglycan-N-acetylmuramic acid deacetylase PdaA OS=Bacillus subtilis (strain 168) OX=224308 GN=pdaA PE=1 SV=1,89.7,263,27
OFBKKLGO_00733_corA_2,sp|O31543|YFJQ_BACSU Putative metal ion transporter YfjQ OS=Bacillus subtilis (strain 168) OX=224308 GN=yfjQ PE=3 SV=1,82.8,319,55
OFBKKLGO_00734_group_970,sp|O31544|YFJP_BACSU Putative DNA-3-methyladenine glycosylase YfjP OS=Bacillus subtilis (strain 168) OX=224308 GN=yfjP PE=3 SV=1,77.7,287,64
OFBKKLGO_00735_rlmCD_2,sp|O31545|YFJO_BACSU Uncharacterized RNA methyltransferase YfjO OS=Bacillus subtilis (strain 168) OX=224308 GN=yfjO PE=3 SV=1,90.3,466,45
OFBKKLGO_00747_dus,sp|O31546|DUS2_BACSU Probable tRNA-dihydrouridine synthase 2 OS=Bacillus subtilis (strain 168) OX=224308 GN=dus2 PE=3 SV=1,95.4,325,15
OFBKKLGO_00750_acoB,"sp|O34591|ACOB_BACSU Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta OS=Bacillus subtilis (strain 168) OX=224308 GN=acoB PE=3 SV=3",95.9,342,14
OFBKKLGO_00751_pdhC_1,sp|O31550|ACOC_BACSU Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system OS=Bacillus subtilis (strain 168) OX=224308 GN=acoC PE=3 SV=1,69.1,401,117
OFBKKLGO_00754_sspH,"sp|A7Z2J3|SSPH_BACVZ Small, acid-soluble spore protein H OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=sspH PE=3 SV=1",95.0,60,3
OFBKKLGO_00755_glvA,sp|P54716|GLVA_BACSU Maltose-6'-phosphate glucosidase OS=Bacillus subtilis (strain 168) OX=224308 GN=glvA PE=1 SV=1,91.8,449,36
OFBKKLGO_00756_glvR,sp|P54717|GLVR_BACSU HTH-type transcriptional regulator GlvR OS=Bacillus subtilis (strain 168) OX=224308 GN=glvR PE=2 SV=1,81.7,252,46
OFBKKLGO_00757_malP,sp|P54715|PTOCB_BACSU PTS system maltose-specific EIICB component OS=Bacillus subtilis (strain 168) OX=224308 GN=malP PE=1 SV=1,88.8,499,55
OFBKKLGO_00760_group_4497,sp|P54719|YFIC_BACSU Uncharacterized ABC transporter ATP-binding protein YfiC OS=Bacillus subtilis (strain 168) OX=224308 GN=yfiC PE=3 SV=1,85.2,600,89
OFBKKLGO_00761_catD,sp|P54720|CATD_BACSU Putative oxidoreductase CatD OS=Bacillus subtilis (strain 168) OX=224308 GN=catD PE=2 SV=1,73.9,134,35
OFBKKLGO_00764_ctaB1,sp|A7Z2K2|COXX1_BACVZ Protoheme IX farnesyltransferase 1 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=ctaB1 PE=3 SV=1,95.1,144,7
OFBKKLGO_00765_group_4499,sp|P94443|PADR_BACSU Negative transcription regulator PadR OS=Bacillus subtilis (strain 168) OX=224308 GN=padR PE=4 SV=1,79.7,182,36
OFBKKLGO_00767_group_1738,sp|O31559|YFIQ_BACSU Putative membrane-bound acyltransferase YfiQ OS=Bacillus subtilis (strain 168) OX=224308 GN=yfiQ PE=3 SV=1,68.8,352,109
OFBKKLGO_00768_group_1424,sp|P11540|BARS_BACAM Barstar OS=Bacillus amyloliquefaciens OX=1390 PE=1 SV=3,100.0,90,0
OFBKKLGO_00770_bmr3_2,sp|O31563|YFIU_BACSU Uncharacterized MFS-type transporter YfiU OS=Bacillus subtilis (strain 168) OX=224308 GN=yfiU PE=3 SV=1,75.2,516,126
OFBKKLGO_00771_group_3483,sp|O31564|YFIV_BACSU Uncharacterized HTH-type transcriptional regulator YfiV OS=Bacillus subtilis (strain 168) OX=224308 GN=yfiV PE=4 SV=1,80.5,159,31
OFBKKLGO_00772_mprF,sp|C0H3X7|MPRF_BACSU Phosphatidylglycerol lysyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=mprF PE=1 SV=1,78.2,852,186
OFBKKLGO_00774_fbiB,sp|O31571|YFHC_BACSU Putative NAD(P)H nitroreductase YfhC OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhC PE=3 SV=1,67.5,194,63
OFBKKLGO_00775_group_2154,sp|O31572|YFHD_BACSU Uncharacterized protein YfhD OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhD PE=4 SV=1,85.7,63,9
OFBKKLGO_00777_group_837,sp|O31574|YFHF_BACSU Epimerase family protein YfhF OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhF PE=3 SV=1,78.8,297,63
OFBKKLGO_00778_recX,sp|A7Z2L7|RECX_BACVZ Regulatory protein RecX OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=recX PE=3 SV=1,97.7,263,6
OFBKKLGO_00780_ydhP_1,sp|O31577|YFHI_BACSU Uncharacterized MFS-type transporter YfhI OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhI PE=3 SV=1,89.8,394,40
OFBKKLGO_00783_group_5899,sp|O31578|YFHJ_BACSU Uncharacterized protein YfhJ OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhJ PE=4 SV=1,75.3,89,22
OFBKKLGO_00786_ephA,sp|O31581|YFHM_BACSU AB hydrolase superfamily protein YfhM OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhM PE=3 SV=1,69.4,284,86
OFBKKLGO_00787_csbB,sp|Q45539|CSBB_BACSU Putative glycosyltransferase CsbB OS=Bacillus subtilis (strain 168) OX=224308 GN=csbB PE=2 SV=1,87.5,320,40
OFBKKLGO_00789_yfhP,sp|O31583|YFHP_BACSU Uncharacterized protein YfhP OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhP PE=2 SV=1,86.9,327,43
OFBKKLGO_00790_mutY,sp|O31584|MUTY_BACSU Adenine DNA glycosylase OS=Bacillus subtilis (strain 168) OX=224308 GN=mutY PE=2 SV=1,85.3,361,53
OFBKKLGO_00791_yfhS,sp|O31585|YFHS_BACSU Uncharacterized protein YfhS OS=Bacillus subtilis (strain 168) OX=224308 GN=yfhS PE=2 SV=1,89.2,74,8
OFBKKLGO_00792_fabL,sp|P71079|FABL_BACSU Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL OS=Bacillus subtilis (strain 168) OX=224308 GN=fabL PE=1 SV=1,94.8,250,13
OFBKKLGO_00793_group_1740,"sp|P84585|SASG_BACIU Small, acid-soluble spore protein gamma-type OS=Bacillus subtilis OX=1423 PE=1 SV=2",82.1,28,5
OFBKKLGO_00794_group_16136,sp|P71080|YGAB_BACSU Uncharacterized protein YgaB OS=Bacillus subtilis (strain 168) OX=224308 GN=ygaB PE=4 SV=1,74.4,86,22
OFBKKLGO_00795_group_15972,sp|A7Z2N5|Y877_BACVZ UPF0374 protein RBAM_008770 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_008770 PE=3 SV=1,100.0,176,0
OFBKKLGO_00796_group_3487,sp|P71082|YGAD_BACSU Putative multidrug export ATP-binding/permease protein YgaD OS=Bacillus subtilis (strain 168) OX=224308 GN=ygaD PE=3 SV=2,88.3,579,68
OFBKKLGO_00797_group_16036,sp|P71083|YGAE_BACSU UPF0421 protein YgaE OS=Bacillus subtilis (strain 168) OX=224308 GN=ygaE PE=3 SV=1,90.1,353,35
OFBKKLGO_00798_hemL1,"sp|A7Z2N8|GSA1_BACVZ Glutamate-1-semialdehyde 2,1-aminomutase 1 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=hemL1 PE=3 SV=1",98.6,428,6
OFBKKLGO_00799_bcp,sp|Q796Y8|BCP_BACSU Peroxiredoxin Bcp OS=Bacillus subtilis (strain 168) OX=224308 GN=ygaF PE=3 SV=1,83.2,155,26
OFBKKLGO_00800_perR,sp|P71086|PERR_BACSU Peroxide operon regulator OS=Bacillus subtilis (strain 168) OX=224308 GN=perR PE=1 SV=1,97.2,145,4
OFBKKLGO_00801_group_4505,sp|A7Z2P1|Y883_BACVZ UPF0295 protein RBAM_008830 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_008830 PE=3 SV=1,98.3,117,2
