Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_01887_mraY,gnl|TC-DB|P0A6W3|9.B.146.1.6 Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1,45.9,327,145
OFBKKLGO_01903_ylbJ,gnl|TC-DB|O34765|9.A.5.3.2 Sporulation integral membrane protein ylbJ OS=Bacillus subtilis GN=ylbJ PE=2 SV=1,80.4,408,80
OFBKKLGO_01915_caaD,gnl|TC-DB|P24013|3.D.4.4.1 Cytochrome c oxidase subunit 4B OS=Bacillus subtilis GN=ctaF PE=3 SV=1,78.2,110,24
OFBKKLGO_01916_ctaE,gnl|TC-DB|P24012|3.D.4.4.1 Cytochrome c oxidase subunit 3 OS=Bacillus subtilis GN=ctaE PE=3 SV=2,88.9,207,23
OFBKKLGO_01917_ctaD,gnl|TC-DB|P24010|3.D.4.4.1 Cytochrome c oxidase subunit 1 OS=Bacillus subtilis GN=ctaD PE=3 SV=3,90.0,622,62
OFBKKLGO_01918_ctaC,gnl|TC-DB|P24011|3.D.4.4.1 Cytochrome c oxidase subunit 2 OS=Bacillus subtilis GN=ctaC PE=3 SV=2,87.4,356,45
OFBKKLGO_01920_ctaA,gnl|TC-DB|P12946|3.D.4.4.1 Heme A synthase OS=Bacillus subtilis GN=ctaA PE=1 SV=1,85.2,305,45
OFBKKLGO_01921_pycA,gnl|TC-DB|B7TVP4|3.B.1.1.7 Biotin/lipoyl-binding protein OS=Clostridium symbiosum OX=1512 GN=gcdC1 PE=4 SV=1,45.3,64,35
OFBKKLGO_01956_ktrA_1,gnl|TC-DB|P39760|2.A.38.4.4 Hypothetical protein ykqB (ORF4) - Bacillus subtilis.,95.0,221,11
OFBKKLGO_01964_ybiT_3,gnl|TC-DB|Q83XH1|9.B.325.1.1 ABC transporter - Clostridium hathewayi.,69.8,533,159
OFBKKLGO_01967_fruA,gnl|TC-DB|P71012|4.A.2.1.4 Phosphotransferase system (PTS) fructose-specific enzyme IIABC component (Fructose PTS IIABC) - Bacillus subtilis.,92.1,635,49
OFBKKLGO_01970_yknZ,gnl|TC-DB|O31712|3.A.1.122.2 Uncharacterized ABC transporter permease yknZ OS=Bacillus subtilis (strain 168) GN=yknZ PE=3 SV=1,80.4,397,78
OFBKKLGO_01971_yknY,gnl|TC-DB|O31711|3.A.1.122.2 Uncharacterized ABC transporter ATP-binding protein YknY OS=Bacillus subtilis (strain 168) GN=yknY PE=3 SV=1,85.7,230,33
OFBKKLGO_01985_ykuT,gnl|TC-DB|O34897|1.A.23.3.1 YKUT PROTEIN - Bacillus subtilis.,76.7,257,60
OFBKKLGO_02013_mcpC,gnl|TC-DB|KKK40667|9.B.334.1.1 Methyl-accepting chemotaxis protein 3 [Lokiarchaeum sp. GC14_75],40.7,123,70
OFBKKLGO_02016_ptsI,"gnl|TC-DB|P08839|8.A.7.1.1 PHOSPHOENOLPYRUVATE-PROTEIN PHOSPHOTRANSFERASE (EC 2.7.3.9) (PHOSPHOTRANSFERASE SYSTEM, ENZYME I) - Escherichia coli.",48.4,566,290
OFBKKLGO_02018_ptsG,"gnl|TC-DB|P20166|4.A.1.1.9 PTS system, glucose-specific IICBA component (EIICBA-Glc) (Glucose- permease IICBA component) (Phosphotransferase enzyme II, CBA component) (EC 2.7.1.69) (EII-Glc/EIII-Glc) - Bacillus subtilis.",92.1,699,54
OFBKKLGO_02022_zosA,gnl|TC-DB|O31688|3.A.3.6.9 Cation-transporting ATPase - Bacillus subtilis.,79.4,637,131
OFBKKLGO_02024_ykvU,gnl|TC-DB|O31686|2.A.66.2.17 Sporulation protein ykvU OS=Bacillus subtilis (strain 168) GN=ykvU PE=1 SV=1,93.3,446,29
OFBKKLGO_02036_group_6171,gnl|TC-DB|O31674|2.A.120.1.10 Uncharacterized membrane protein YkvI OS=Bacillus subtilis (strain 168) GN=ykvI PE=4 SV=1,75.7,345,84
OFBKKLGO_02037_clpE,"gnl|TC-DB|Q9FI56|3.A.9.1.2 Chaperone protein ClpC1, chloroplastic OS=Arabidopsis thaliana GN=CLPC1 PE=1 SV=1",52.4,633,276
OFBKKLGO_02038_pomA_1,gnl|TC-DB|P28611|1.A.30.1.3 Chemotaxis motA protein (Motility protein A) - Bacillus subtilis.,90.4,271,25
OFBKKLGO_02059_ktrB,gnl|TC-DB|O31658|2.A.38.4.4 YKRM protein - Bacillus subtilis.,88.2,450,52
OFBKKLGO_02060_htpX_2,gnl|TC-DB|Q8EXN4|9.B.1.1.5 Protease HtpX homolog OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) GN=htpX PE=3 SV=1,56.9,295,118
OFBKKLGO_02065_group_4724,gnl|TC-DB|O34997|2.A.109.1.4 Uncharacterized membrane protein ykoY OS=Bacillus subtilis GN=ykoY PE=3 SV=1,83.3,246,41
OFBKKLGO_02075_mgtE,gnl|TC-DB|O34442|1.A.26.1.3 Magnesium transporter MgtE OS=Bacillus subtilis (strain 168) GN=mgtE PE=3 SV=1,85.4,451,66
OFBKKLGO_02080_ykoE,gnl|TC-DB|O34738|3.A.1.30.1 Putative HMP/thiamine permease protein ykoE OS=Bacillus subtilis GN=ykoE PE=1 SV=1,76.9,199,46
OFBKKLGO_02082_ykoC,gnl|TC-DB|O34572|3.A.1.30.1 Putative HMP/thiamine permease protein ykoC OS=Bacillus subtilis GN=ykoC PE=1 SV=1,74.6,252,64
OFBKKLGO_02099_gdnD,gnl|TC-DB|P49857|2.A.7.1.5 Hypothetical 11.3 KDA protein IN HMP-PROB intergenic region - Bacillus subtilis.,81.7,104,19
OFBKKLGO_02110_dppE,gnl|TC-DB|P26906|3.A.1.5.2 Dipeptide-binding protein DPPE precursor - Bacillus subtilis.,80.4,469,92
OFBKKLGO_02112_oppD_4,gnl|TC-DB|P26905|3.A.1.5.2 Dipeptide transport ATP-binding protein dppD - Bacillus subtilis.,79.6,324,66
OFBKKLGO_02113_dppC,gnl|TC-DB|P26904|3.A.1.5.2 Dipeptide transport system permease protein dppC - Bacillus subtilis.,86.6,320,38
OFBKKLGO_02114_dppB_3,gnl|TC-DB|P26903|3.A.1.5.2 Dipeptide transport system permease protein dppB - Bacillus subtilis.,89.5,306,32
OFBKKLGO_02115_dppA,gnl|TC-DB|P26902|3.A.1.5.2 Dipeptide transport protein DPPA - Bacillus subtilis.,84.3,274,43
OFBKKLGO_02119_group_2845,gnl|TC-DB|Q55487|4.D.1.1.14 Uncharacterized glycosyltransferase sll0501 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll0501 PE=3 SV=1,46.8,308,164
OFBKKLGO_02122_steT,gnl|TC-DB|O34739|2.A.3.8.12 YkbA protein - Bacillus subtilis.,83.3,438,73
OFBKKLGO_02124_group_6198,gnl|TC-DB|D9RF44|2.A.20.1.7 Low-affinity inorganic phosphate transporter OS=Staphylococcus aureus (strain JKD6159) GN=pitA PE=4 SV=1,60.9,335,128
OFBKKLGO_02125_spoIISA,gnl|TC-DB|O34853|9.A.10.1.1 Stage II sporulation protein SA OS=Bacillus subtilis (strain 168) GN=spoIISA PE=1 SV=1,79.0,248,52
OFBKKLGO_02128_group_1802,gnl|TC-DB|E0U1U5|1.E.31.1.14 Bacteriophage PBSX holin OS=Bacillus subtilis subsp. spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) GN=zhlB PE=4 SV=1,79.3,87,18
OFBKKLGO_02129_group_3676,gnl|TC-DB|P39798|1.E.31.1.14 Protein XhlA OS=Bacillus subtilis (strain 168) GN=xhlA PE=4 SV=1,79.5,83,17
OFBKKLGO_02193_sapB_2,gnl|TC-DB|P0AFV2|9.B.20.1.4 Putative magnesium transporter YhiD OS=Escherichia coli (strain K12) GN=yhiD PE=3 SV=1,56.0,134,59
OFBKKLGO_02350_oppF_3,"gnl|TC-DB|Q2FZR4|3.A.1.5.19 Oligopeptide ABC transporter, ATP-binding protein, putative - Staphylococcus aureus (strain NCTC 8325).",68.6,299,90
OFBKKLGO_02351_oppD_3,gnl|TC-DB|Q2FZR5|3.A.1.5.19 Putative uncharacterized protein - Staphylococcus aureus (strain NCTC 8325).,66.0,356,121
OFBKKLGO_02352_oppC_2,gnl|TC-DB|P26904|3.A.1.5.2 Dipeptide transport system permease protein dppC - Bacillus subtilis.,56.8,303,130
OFBKKLGO_02353_oppB,gnl|TC-DB|P26903|3.A.1.5.2 Dipeptide transport system permease protein dppB - Bacillus subtilis.,55.9,304,134
OFBKKLGO_02362_oppD_2,gnl|TC-DB|P42064|3.A.1.5.20 Oligopeptide transport ATP-binding protein appD - Bacillus subtilis.,89.3,326,35
OFBKKLGO_02386_spoIIM,gnl|TC-DB|P37873|9.B.98.2.1 Stage II sporulation protein M OS=Bacillus subtilis GN=spoIIM PE=2 SV=1,82.2,214,38
OFBKKLGO_02390_mleN,gnl|TC-DB|P54571|2.A.35.1.2 HYPOTHETICAL NA+/H+ ANTIPORTER IN ANSB-SPOIIM INTERGENIC REGION - Bacillus subtilis.,87.4,467,59
OFBKKLGO_02425_misCB,gnl|TC-DB|P54544|2.A.9.3.3 Membrane protein oxaA 2 OS=Bacillus subtilis GN=oxaA2 PE=3 SV=1,81.5,275,49
OFBKKLGO_02428_pccB,"gnl|TC-DB|Q9V0A4|3.B.1.1.5 Methylmalonyl-CoA decarboxylase, subunit A LPHA (MMDA) - Pyrococcus abyssi.",53.1,522,230
OFBKKLGO_02432_group_6258,gnl|TC-DB|P54538|2.A.85.5.1 Hypothetical protein yqjA - Bacillus subtilis.,90.8,316,29
OFBKKLGO_02433_artM,gnl|TC-DB|P54537|3.A.1.3.15 Probable amino-acid ABC transporter ATP-binding protein yqiZ - Bacillus subtilis.,88.8,240,27
OFBKKLGO_02434_artQ,gnl|TC-DB|P54536|3.A.1.3.15 Probable amino-acid ABC transporter permease protein yqiY - Bacillus subtilis.,90.4,219,21
OFBKKLGO_02435_artP,gnl|TC-DB|P54535|3.A.1.3.15 Probable amino-acid ABC transporter extracellular-binding protein yqiX - Bacillus subtilis.,82.4,255,45
OFBKKLGO_02468_tlyA,gnl|TC-DB|J8IXD8|1.C.109.1.5 Hemolysin TlyA family protein OS=Bacillus cereus VD078 GN=III_01305 PE=4 SV=1,70.5,275,81
OFBKKLGO_02479_group_2887,gnl|TC-DB|P49784|9.B.70.1.1 Stage III sporulation protein AG - Bacillus subtilis.,80.9,230,43
OFBKKLGO_02481_spoIIIAE,gnl|TC-DB|P49782|9.B.70.1.1 Stage III sporulation protein AE - Bacillus subtilis.,86.1,402,53
OFBKKLGO_02482_group_6271,gnl|TC-DB|P49781|9.B.70.1.1 Stage III sporulation protein AD - Bacillus subtilis.,96.0,100,4
OFBKKLGO_02483_group_16176,gnl|TC-DB|P49780|9.B.70.1.1 Stage III sporulation protein AC - Bacillus subtilis.,100.0,68,0
OFBKKLGO_02484_spoIIIAB,gnl|TC-DB|Q01368|9.B.70.1.1 Stage III sporulation protein AB - Bacillus subtilis.,83.0,171,29
OFBKKLGO_02485_group_6272,gnl|TC-DB|Q01367|9.B.70.1.1 Stage III sporulation protein AA - Bacillus subtilis.,76.5,307,72
OFBKKLGO_02495_glpE,gnl|TC-DB|B9LBX9|2.A.53.3.4 Sulphate transporter OS=Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl) GN=Chy400_1352 PE=4 SV=1,44.6,74,39
OFBKKLGO_02513_comGC,gnl|TC-DB|G2JS05|3.A.14.1.2 General secretion pathway protein G OS=Listeria monocytogenes J0161 GN=LMOG_00364 PE=4 SV=1,50.0,90,43
OFBKKLGO_02514_epsF_1,gnl|TC-DB|P25954|3.A.14.1.1 COMG OPERON PROTEIN 2 - Bacillus subtilis.,66.9,323,107
OFBKKLGO_02516_group_3729,gnl|TC-DB|P40948|1.A.35.1.3 Magnesium transport protein CorA OS=Bacillus subtilis (strain 168) GN=corA PE=1 SV=2,68.5,308,97
OFBKKLGO_02529_nhaC_2,gnl|TC-DB|O07553|2.A.35.1.6 Na(+)/H(+) antiporter NhaC OS=Bacillus subtilis (strain 168) GN=nhaC PE=1 SV=1,82.0,417,75
OFBKKLGO_02535_pstB3_2,gnl|TC-DB|O51236|3.A.1.7.5 Phosphate import ATP-binding protein PstB OS=Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) GN=pstB PE=3 SV=1,57.0,256,110
OFBKKLGO_02536_pstB3_3,gnl|TC-DB|O51236|3.A.1.7.5 Phosphate import ATP-binding protein PstB OS=Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680) GN=pstB PE=3 SV=1,60.1,248,99
OFBKKLGO_02541_group_3734,gnl|TC-DB|P54487|2.A.1.33.1 Hypothetical 48.2 kDa protein IN SODA-COMGA intergenic region - Bacillus subtilis.,87.9,430,51
OFBKKLGO_02547_group_3736,gnl|TC-DB|E8VD44|9.B.117.1.1 Uncharacterized protein OS=Bacillus subtilis (strain BSn5) GN=BSn5_03095 PE=4 SV=1,75.6,127,27
OFBKKLGO_02573_group_6298,gnl|TC-DB|B3ERW3|3.A.23.6.1 Uncharacterized protein OS=Amoebophilus asiaticus (strain 5a2) GN=Aasi_0564 PE=4 SV=1,47.3,279,141
OFBKKLGO_02585_dnaJ,gnl|TC-DB|Q9NXW2|1.P.1.1.1 DnaJ homolog subfamily B member 12 OS=Homo sapiens GN=DNAJB12 PE=1 SV=4,51.4,105,44
OFBKKLGO_02587_dnaK,gnl|TC-DB|G4NXA5|1.A.33.1.4 Chaperone protein DnaK OS=Bacillus subtilis subsp. spizizenii TU-B-10 GN=dnaK PE=3 SV=1,97.5,611,14
OFBKKLGO_02599_tadA_2,gnl|TC-DB|G2JTB4|3.A.11.1.4 ComE operon protein 2 OS=Listeria monocytogenes J0161 GN=LMOG_00216 PE=3 SV=1,68.0,150,48
OFBKKLGO_02634_ynfM,gnl|TC-DB|P43531|2.A.1.36.1 Hypothetical transport protein ynfM - Escherichia coli.,42.6,397,222
OFBKKLGO_02640_focA,gnl|TC-DB|P35839|1.A.16.2.1 Probable formate transporter OS=Methanobacterium formicicum GN=fdhC PE=3 SV=1,41.0,268,141
OFBKKLGO_02663_glnQ,gnl|TC-DB|P45769|3.A.1.3.26 Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ OS=Escherichia coli (strain K12) GN=yhdZ PE=3 SV=1,58.9,241,99
OFBKKLGO_02665_glnM,gnl|TC-DB|OLS25601|3.A.1.3.30 Inner membrane amino-acid ABC transporter permease protein YecS [Candidatus Heimdallarchaeota archaeon LC_3],42.2,116,67
OFBKKLGO_02666_glnP,gnl|TC-DB|Q52664|3.A.1.3.7 Glutamate/glutamine/aspartate/asparagine transport system permease protein bztB - Rhodobacter capsulatus (Rhodopseudomonas capsulata).,45.1,82,45
OFBKKLGO_02685_relA,gnl|TC-DB|B3ERW2|3.A.23.6.1 Uncharacterized protein OS=Amoebophilus asiaticus (strain 5a2) GN=Aasi_0563 PE=4 SV=1,41.0,188,103
OFBKKLGO_02690_secDF,gnl|TC-DB|O32047|2.A.6.4.2 Protein translocase subunit SecDF OS=Bacillus subtilis (strain 168) GN=secDF PE=1 SV=2,88.4,732,85
OFBKKLGO_02692_spoVB,gnl|TC-DB|Q00758|2.A.66.2.14 Stage V sporulation protein B OS=Bacillus subtilis GN=spoVB PE=2 SV=1,87.5,518,65
OFBKKLGO_02718_spoIVFB,gnl|TC-DB|P26937|9.B.149.1.13 Stage IV sporulation protein FB OS=Bacillus subtilis (strain 168) OX=224308 GN=spoIVFB PE=1 SV=1,77.8,288,64
OFBKKLGO_02722_mreD,gnl|TC-DB|Q01467|9.B.157.1.1 Rod shape-determining protein MreD OS=Bacillus subtilis (strain 168) GN=mreD PE=1 SV=1,74.9,171,43
OFBKKLGO_02723_mreC,gnl|TC-DB|Q01466|9.B.157.1.1 Cell shape-determining protein MreC OS=Bacillus subtilis (strain 168) GN=mreC PE=1 SV=3,84.1,290,43
OFBKKLGO_02724_mreB,gnl|TC-DB|Q01465|9.B.157.1.1 Rod shape-determining protein MreB OS=Bacillus subtilis (strain 168) GN=mreB PE=3 SV=3,95.0,337,17
OFBKKLGO_02766_frdB,gnl|TC-DB|Q65GF5|3.D.10.1.1 SdhB OS=Bacillus licheniformis (strain DSM 13 / ATCC 14580) GN=sdhB PE=4 SV=1,88.1,253,29
OFBKKLGO_02767_frdA,gnl|TC-DB|Q65GF4|3.D.10.1.1 SdhA OS=Bacillus licheniformis (strain DSM 13 / ATCC 14580) GN=sdhA PE=4 SV=1,93.0,586,41
OFBKKLGO_02768_sdhC,gnl|TC-DB|Q65GF3|3.D.10.1.1 SdhC OS=Bacillus licheniformis (strain DSM 13 / ATCC 14580) GN=sdhC PE=4 SV=1,83.7,202,33
OFBKKLGO_02794_cstA,gnl|TC-DB|Q0P9Y2|2.A.114.1.5 Putative integral membrane protein (CstA homolog) OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168) GN=cstA PE=4 SV=1,45.0,584,291
OFBKKLGO_02796_araQ,gnl|TC-DB|P94530|3.A.1.1.34 L-arabinose transport system permease protein AraQ OS=Bacillus subtilis GN=araQ PE=2 SV=2,90.3,279,27
OFBKKLGO_02797_araP,gnl|TC-DB|P94529|3.A.1.1.34 L-arabinose transport system permease protein AraP OS=Bacillus subtilis GN=araP PE=2 SV=1,85.0,313,47
OFBKKLGO_02798_araN,gnl|TC-DB|P94528|3.A.1.1.34 Probable arabinose-binding protein OS=Bacillus subtilis GN=araN PE=2 SV=2,83.7,430,69
OFBKKLGO_02812_lrgB,gnl|TC-DB|P94516|2.A.122.1.6 Antiholin-like protein LrgB OS=Bacillus subtilis (strain 168) GN=lrgB PE=3 SV=1,93.0,227,16
OFBKKLGO_02813_lrgA,gnl|TC-DB|P94515|1.E.14.1.17 Antiholin-like protein LrgA OS=Bacillus subtilis (strain 168) GN=lrgA PE=3 SV=1,72.6,146,40
OFBKKLGO_02815_ypdA,gnl|TC-DB|Q81JL2|9.B.33.1.1 Sensor protein lytS OS=Bacillus anthracis GN=lytS PE=3 SV=1,65.0,586,199
OFBKKLGO_02824_gapB,gnl|TC-DB|B3ET62|3.A.23.6.1 Glyceraldehyde-3-phosphate dehydrogenase OS=Amoebophilus asiaticus (strain 5a2) GN=Aasi_1069 PE=3 SV=1,50.6,326,159
OFBKKLGO_02829_ytaF_2,gnl|TC-DB|L8Q2C2|2.A.107.3.1 Integral inner membrane protein OS=Bacillus subtilis subsp. inaquosorum KCTC 13429 GN=BSI_14920 PE=4 SV=1,81.4,210,39
OFBKKLGO_02838_group_16338,gnl|TC-DB|O34991|2.A.86.1.9 UPF0118 membrane protein ytvI OS=Bacillus subtilis (strain 168) GN=ytvI PE=3 SV=1,76.8,371,86
OFBKKLGO_02871_brnQ,gnl|TC-DB|P19072|2.A.26.1.1 BRANCHED CHAIN AMINO ACID TRANSPORT SYSTEM II CARRIER PROTEIN (LIV-II) - Pseudomonas aeruginosa.,46.1,414,214
OFBKKLGO_02919_pbuO,gnl|TC-DB|O34987|2.A.40.7.2 Hypoxanthine/guanine permease (Hypothetical protein) - Bacillus subtilis.,46.8,425,211
OFBKKLGO_02926_opuD,gnl|TC-DB|P54417|2.A.15.1.1 GLYCINE BETAINE TRANSPORTER OPUD - Bacillus subtilis.,88.0,509,61
OFBKKLGO_02938_pfyP,gnl|TC-DB|AYS76116|1.A.1.4.12 BLINK2 [synthetic construct],47.7,111,56
OFBKKLGO_02939_mdrP,gnl|TC-DB|O34546|2.A.1.2.69 Uncharacterized MFS-type transporter yttB OS=Bacillus subtilis (strain 168) GN=yttB PE=3 SV=1,81.6,392,72
OFBKKLGO_02942_bceA,gnl|TC-DB|O34697|3.A.1.134.3 Transporter - Bacillus subtilis.,82.8,250,43
OFBKKLGO_02969_ssuB_2,"gnl|TC-DB|Q53VZ4|3.A.1.20.5 ABC transporter, ATP-binding protein OS=Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579) OX=300852 GN=TTHB175 PE=3 SV=1",41.4,220,116
OFBKKLGO_02994_thiT,gnl|TC-DB|O32074|2.A.88.3.1 Proton-coupled thiamine transporter thiT OS=Bacillus subtilis GN=thiT PE=1 SV=1,80.2,192,38
OFBKKLGO_02995_yqiK,gnl|TC-DB|O75955|8.A.21.3.1 Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,46.4,192,91
OFBKKLGO_03003_ktrA_2,gnl|TC-DB|O32080|2.A.38.4.3 YUAA protein - Bacillus subtilis.,85.6,222,32
OFBKKLGO_03004_lytG,gnl|TC-DB|Q15HU6|3.A.7.14.2 TcpG - Clostridium perfringens.,45.3,159,82
OFBKKLGO_03068_mcpA_2,gnl|TC-DB|KKK40667|9.B.334.1.1 Methyl-accepting chemotaxis protein 3 [Lokiarchaeum sp. GC14_75],51.6,93,41
OFBKKLGO_03069_mcpA_3,gnl|TC-DB|KKK40667|9.B.334.1.1 Methyl-accepting chemotaxis protein 3 [Lokiarchaeum sp. GC14_75],43.4,106,53
OFBKKLGO_03075_group_16085,gnl|TC-DB|O07585|1.A.112.2.4 UPF0053 protein YhdP OS=Bacillus subtilis (strain 168) GN=yhdP PE=3 SV=1,58.5,427,174
OFBKKLGO_03078_mstX,gnl|TC-DB|Q5BU39|9.A.66.1.1 Mistic - Bacillus subtilis.,79.8,84,17
OFBKKLGO_03079_group_6429,gnl|TC-DB|Q795M8|1.A.1.13.4 Putative potassium channel protein yugO OS=Bacillus subtilis GN=yugO PE=4 SV=2,72.6,328,90
OFBKKLGO_03102_tmpC_2,gnl|TC-DB|Q8DU36|3.A.1.2.12 Putative ABC transporter - Streptococcus mutans.,48.9,348,165
OFBKKLGO_03104_group_3821,gnl|TC-DB|A2RKA6|3.A.1.2.17 Purine/cytidine ABC transporter permease protein OS=Lactococcus lactis subsp. cremoris (strain MG1363) GN=nupB PE=4 SV=1,41.1,348,197
OFBKKLGO_03105_group_15997,"gnl|TC-DB|Q8DU39|3.A.1.2.12 Putative ABC sugar transporter, permease protein - Streptococcus mutans.",56.4,312,136
OFBKKLGO_03107_mrpA,gnl|TC-DB|Q9K2S2|2.A.63.1.4 Na(+)/H(+) antiporter subunit A - Bacillus subtilis.,82.2,797,142
OFBKKLGO_03108_mrpB,gnl|TC-DB|O05259|2.A.63.1.4 Na(+)/H(+) antiporter subunit B - Bacillus subtilis.,84.6,143,22
OFBKKLGO_03109_mrpC,gnl|TC-DB|O05260|2.A.63.1.4 Na(+)/H(+) antiporter subunit C - Bacillus subtilis.,88.4,112,13
OFBKKLGO_03110_mrpD,gnl|TC-DB|O05229|2.A.63.1.4 Na(+)/H(+) antiporter subunit D - Bacillus subtilis.,87.6,493,61
OFBKKLGO_03112_mrpF,gnl|TC-DB|O05228|2.A.63.1.4 Na(+)/H(+) antiporter subunit F - Bacillus subtilis.,88.3,94,11
OFBKKLGO_03113_mrpG,gnl|TC-DB|O05227|2.A.63.1.4 Na(+)/H(+) antiporter subunit G - Bacillus subtilis.,75.0,124,31
OFBKKLGO_03128_group_7021,gnl|TC-DB|O32095|2.A.86.1.8 UPF0118 membrane protein yueF OS=Bacillus subtilis GN=yueF PE=3 SV=1,83.3,366,61
OFBKKLGO_03150_group_6449,gnl|TC-DB|O32105|2.A.8.1.12 Putative amino acid transporter yuiF OS=Bacillus subtilis GN=yuiF PE=4 SV=1,89.8,442,45
OFBKKLGO_03244_tetA_2,gnl|TC-DB|P39843|2.A.1.2.8 Multidrug resistance protein 2 (Multidrug-efflux transporter 2) - Bacillus subtilis.,41.5,381,220
OFBKKLGO_03269_sufC,"gnl|TC-DB|A3U437|9.B.29.2.12 Suf C, ATPase OS=Pseudooceanicola batsensis (strain ATCC BAA-863 / DSM 15984 / KCTC 12145 / HTCC2597) OX=252305 GN=OB2597_03564 PE=4 SV=1",56.2,242,102
OFBKKLGO_03272_metQ,gnl|TC-DB|O32167|3.A.1.24.2 MetQ protein - Bacillus subtilis subsp. subtilis str. 168.,87.6,274,31
OFBKKLGO_03273_metP,gnl|TC-DB|O32168|3.A.1.24.2 MetP protein - Bacillus subtilis subsp. subtilis str. 168.,85.6,222,32
OFBKKLGO_03274_metN,gnl|TC-DB|O32169|3.A.1.24.2 MetN protein - Bacillus subtilis subsp. subtilis str. 168.,88.0,341,41
OFBKKLGO_03290_bmr3_1,gnl|TC-DB|O32182|2.A.1.3.33 Uncharacterized MFS-type transporter yusP OS=Bacillus subtilis GN=yusP PE=3 SV=1,86.4,530,72
OFBKKLGO_03295_yusV_1,gnl|TC-DB|P72592|3.A.1.14.24 Iron(III) dicitrate transport system permease protein FecE OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=fecE PE=4 SV=1,64.2,257,92
OFBKKLGO_03307_gerAA,gnl|TC-DB|P39569|9.A.11.1.2 Spore germination protein B1 OS=Bacillus subtilis GN=gerBA PE=2 SV=2,49.6,397,193
OFBKKLGO_03310_liaR_2,"gnl|TC-DB|Q887X9|9.B.159.6.7 Transcriptional regulator, LuxR family OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=PSPTO_1151 PE=4 SV=1",52.6,57,27
OFBKKLGO_03319_hmuU,gnl|TC-DB|Q9HQ19|3.A.1.14.9 Iron (III) ABC transporter permease - Halobacterium salinarium (Halobacterium halobium).,42.9,273,147
OFBKKLGO_03330_yusV_2,gnl|TC-DB|Q9X665|3.A.1.14.7 FhuA (FhuC) (Ferrichrome transport ATP-binding protein) - Staphylococcus aureus,59.1,259,106
OFBKKLGO_03331_feuC_2,gnl|TC-DB|P40411|3.A.1.14.15 Iron-uptake system permease protein feuC - Bacillus subtilis.,42.5,327,184
OFBKKLGO_03335_ydgI,gnl|TC-DB|O32204|2.A.3.2.6 YvsH protein - Bacillus subtilis.,89.1,469,51
OFBKKLGO_03342_modB,"gnl|TC-DB|Q8TJ86|3.A.1.8.2 Molybdenum ABC transporter, permease protein OS=Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A) GN=modB PE=3 SV=1",41.1,202,119
OFBKKLGO_03345_lnrL_5,gnl|TC-DB|J8ABC0|3.A.1.105.9 Uncharacterized protein OS=Bacillus cereus BAG4X12-1 GN=IE9_00061 PE=3 SV=1,49.4,312,153
OFBKKLGO_03350_nhaK,gnl|TC-DB|O32212|2.A.36.3.2 YvgP protein - Bacillus subtilis.,87.3,670,84
OFBKKLGO_03358_cadA,gnl|TC-DB|O32219|3.A.3.6.10 Cation-transporting ATPase - Bacillus subtilis.,76.9,701,161
OFBKKLGO_03359_copA,gnl|TC-DB|O32220|3.A.3.5.18 Copper-transporting P-type ATPase copA - Bacillus subtilis.,79.0,806,165
OFBKKLGO_03360_copZ,gnl|TC-DB|Q9S7J8|3.A.3.5.32 Copper-transporting ATPase RAN1 OS=Arabidopsis thaliana GN=RAN1 PE=1 SV=1,42.4,59,34
OFBKKLGO_03367_tcyN,gnl|TC-DB|O34900|3.A.1.3.13 Probable amino-acid ABC transporter ATP-binding protein ytmN - Bacillus subtilis.,81.9,259,47
OFBKKLGO_03368_tcyM,gnl|TC-DB|O34931|3.A.1.3.13 Probable amino-acid ABC transporter permease protein ytmM - Bacillus subtilis.,75.5,233,57
OFBKKLGO_03369_tcyL,gnl|TC-DB|O34315|3.A.1.3.13 Probable amino-acid ABC transporter permease protein ytmL - Bacillus subtilis.,80.8,239,46
OFBKKLGO_03390_opuBC,gnl|TC-DB|Q45462|3.A.1.12.3 Choline-binding protein precursor - Bacillus subtilis.,78.4,305,66
OFBKKLGO_03391_opuCB_1,gnl|TC-DB|O34878|3.A.1.12.4 Glycine betaine/carnitine/choline transport system permease protein opuCB - Bacillus subtilis.,82.5,217,38
